cencode,institutionname,new_cencode,new_institutionname,address,distcode,zonecode,divcode,schooltype,schoolcategory,status
ZN1004,VALIKAMAM ZONAL EDUCATION OFFICE,54104,VALIKAMAM ZONAL EDUCATION OFFICE,,D10,ZN1004,ED1010,8,,1
ZN1302,VAVUNIYA NORTH ZONAL EDUCATION OFFICE,54302,VAVUNIYA NORTH ZONAL EDUCATION OFFICE,,D13,ZN1302,ED1305,8,,1
ZN1301,VAVUNIYA SOUTH ZONAL EDUCATION OFFICE,54301,VAVUNIYA SOUTH ZONAL EDUCATION OFFICE,,D13,ZN1301,ED1302,8,,1
ZN2206,VIYALUWA ZONAL EDUCATION OFFICE,58106,VIYALUWA ZONAL EDUCATION OFFICE,,D22,ZN2206,ED2205,8,,1
ZN0604,WALAPANE ZONAL EDUCATION OFFICE,52304,WALAPANE ZONAL EDUCATION OFFICE,,D06,ZN0604,ED0603,8,,1
ZN0903,WALASMULLA ZONAL EDUCATION OFFICE,53303,WALASMULLA ZONAL EDUCATION OFFICE,,D09,ZN0903,ED0904,8,,1
ZN0406,WATHTHEGAMA ZONAL EDUCATION OFFICE,52106,WATHTHEGAMA ZONAL EDUCATION OFFICE,,D04,ZN0406,ED0415,8,,1
ZN2204,WELIMADA ZONAL EDUCATION OFFICE,58104,WELIMADA ZONAL EDUCATION OFFICE,,D22,ZN2204,ED2209,8,,1
ZN2302,WELLAWAYA ZONAL EDUCATION OFFICE,58202,WELLAWAYA ZONAL EDUCATION OFFICE,,D23,ZN2302,ED2302,8,,1
ZN0504,WILGAMUWA ZONAL EDUCATION OFFICE,52204,WILGAMUWA ZONAL EDUCATION OFFICE,,D05,ZN0504,ED0503,8,,1
