old_divcode,old_divisionname,new_divcode,new_divisionname,distcode,zonecode,divisionname_si,divisionname_ta,status
ED0416,PANVILA DIVISIONAL EDUCATION OFFICE,52137,PANVILA DIVISIONAL EDUCATION OFFICE,D04,ZN0406,,,1
ED0407,PASBAGE KORALE DIVISIONAL EDUCATION OFFICE,52124,PASBAGE KORALE DIVISIONAL EDUCATION OFFICE,D04,ZN0404,,,1
ED0813,PASGODA DIVISIONAL EDUCATION OFFICE,53230,PASGODA DIVISIONAL EDUCATION OFFICE,D08,ZN0804,,,1
ED2202,PASSARA DIVISIONAL EDUCATION OFFICE,58129,PASSARA DIVISIONAL EDUCATION OFFICE,D22,ZN2205,,,1
ED0415,PATHA DUMBARA DIVISIONAL EDUCATION OFFICE,52138,PATHADUMBARA DIVISIONAL EDUCATION OFFICE,D04,ZN0406,,,1
ED0403,PATHA HEWAHETA DIVISIONAL EDUCATION OFFICE,52127,PATHAHEWAHETA DIVISIONAL EDUCATION OFFICE,D04,ZN0401,,,1
ED2402,PELMADULLA DIVISIONAL EDUCATION OFFICE,59134,PELMADULLA DIVISIONAL EDUCATION OFFICE,D24,ZN2401,,,1
ED1007,POINT PEDRO DIVISIONAL EDUCATION OFFICE,54131,POINT PEDRO DIVISIONAL EDUCATION OFFICE,D10,ZN1005,,,1
ED1802,POLGAHAWELA DIVISIONAL EDUCATION OFFICE,56134,POLGAHAWELA DIVISIONAL EDUCATION OFFICE,D18,ZN1801,,,1
ED1813,POLPITHIGAMA DIVISIONAL EDUCATION OFFICE,56138,POLPITIGAMA DIVISIONAL EDUCATION OFFICE,D18,ZN1804,,,1
ED1505,PORATHIVU PATTU DIVISIONAL EDUCATION OFFICE,55134,PORATIVU PATTU DIVISIONAL EDUCATION OFFICE,D15,ZN1503,,,1
ED1621,POTHIVIL - II DIVISIONAL EDUCATION OFFICE,55240,POTTUVIL - II (TAMIL) DIVISIONAL EDUCATION OFFICE,D16,ZN1607,,,1
ED1616,POTUVIL - I DIVISIONAL EDUCATION OFFICE,55223,POTTUVIL - I DIVISIONAL EDUCATION OFFICE,D16,ZN1606,,,1
ED0413,PUJAPITIYA DIVISIONAL EDUCATION OFFICE,52132,POOJAPITIYA DIVISIONAL EDUCATION OFFICE,D04,ZN0407,,,1
ED1104,PUNAHARI DIVISIONAL EDUCATION OFFICE,54524,POONAHARI DIVISIONAL EDUCATION OFFICE,D11,ZN1101,,,1
ED1404,PUTHUKKUDIYIRUPPU DIVISIONAL EDUCATION OFFICE,54422,PUTHUKKUDIYIRUPPU DIVISIONAL EDUCATION OFFICE,D14,ZN1401,,,1
ED1901,PUTTALAM-NORTH DIVISIONAL EDUCATION OFFICE,56228,PUTTALAM NORTH DIVISIONAL EDUCATION OFFICE,D19,ZN1901,,,1
ED1917,PUTTALAM-SOUTH DIVISIONAL EDUCATION OFFICE,56229,PUTTALAM SOUTH DIVISIONAL EDUCATION OFFICE,D19,ZN1901,,,1
ED2008,RAJANGANAYA DIVISIONAL EDUCATION OFFICE,57140,RAJANGANAYA DIVISIONAL EDUCATION OFFICE,D20,ZN2002,,,1
ED2003,RAMBEWA DIVISIONAL EDUCATION OFFICE,57125,RAMBEWA DIVISIONAL EDUCATION OFFICE,D20,ZN2001,,,1
ED2509,RAMBUKKANA DIVISIONAL EDUCATION OFFICE,59232,RAMBUKKANA DIVISIONAL EDUCATION OFFICE,D25,ZN2503,,,1
ED2401,RATNAPURA DIVISIONAL EDUCATION OFFICE,59135,RATNAPURA DIVISIONAL EDUCATION OFFICE,D24,ZN2401,,,1
ED0502,RATTOTA DIVISIONAL EDUCATION OFFICE,52225,RATTOTA DIVISIONAL EDUCATION OFFICE,D05,ZN0501,,,1
ED1804,RIDEEGAMA DIVISIONAL EDUCATION OFFICE,56126,RIDEEGAMA DIVISIONAL EDUCATION OFFICE,D18,ZN1806,,,1
ED2214,RIDEEMALIYADDA DIVISIONAL EDUCATION OFFICE,58128,RIDEEMALIYEDDA DIVISIONAL EDUCATION OFFICE,D22,ZN2203,,,1
ED2504,RUWANWELLA DIVISIONAL EDUCATION OFFICE,59224,RUWANWELLA DIVISIONAL EDUCATION OFFICE,D25,ZN2504,,,1
ED1620,SAINTHAMAKUDU DIVISIONAL EDUCATION OFFICE,55233,SAINTHAMARUTHU DIVISIONAL EDUCATION OFFICE,D16,ZN1602,,,1
ED1611,SAMMANTHURAI DIVISIONAL EDUCATION OFFICE,55238,SAMMANTHURAI DIVISIONAL EDUCATION OFFICE,D16,ZN1603,,,1
ED1012,SANDILIPAY DIVISIONAL EDUCATION OFFICE,54133,SANDILIPAY DIVISIONAL EDUCATION OFFICE,D10,ZN1004,,,1
ED1707,SERUWAVILA DIVISIONAL EDUCATION OFFICE,55322,SERUVILA DIVISIONAL EDUCATION OFFICE,D17,ZN1703,,,1
ED2305,SIYAMBALANDUWA DIVISIONAL EDUCATION OFFICE,58226,SIYAMBALANDUWA DIVISIONAL EDUCATION OFFICE,D23,ZN2301,,,1
ED2204,SORANATHOTA DIVISIONAL EDUCATION OFFICE,58132,SORANATOTA DIVISIONAL EDUCATION OFFICE,D22,ZN2206,,,1
