old_divcode,old_divisionname,new_divcode,new_divisionname,distcode,zonecode,divisionname_si,divisionname_ta,status
ED2511,DEDIGAMA DIVISIONAL EDUCATION OFFICE,59226,DEDIGAMA DIVISIONAL EDUCATION OFFICE,D25,ZN2501,,,1
ED1605,DEHIATTAKANDIYA DIVISIONAL EDUCATION OFFICE,55228,DEHIATTAKANDIYA DIVISIONAL EDUCATION OFFICE,D16,ZN1605,,,1
ED2505,DEHIOWITA DIVISIONAL EDUCATION OFFICE,59221,DEHIOWITA DIVISIONAL EDUCATION OFFICE,D25,ZN2504,,,1
ED0105,DEHIWALA DIVISIONAL EDUCATION OFFICE,51128,DEHIWALA DIVISIONAL EDUCATION OFFICE,D01,ZN0104,,,1
ED1004,DELFT DIVISIONAL EDUCATION OFFICE,54121,DELFT DIVISIONAL EDUCATION OFFICE,D10,ZN1002,,,1
ED2506,DERANIYAGALA DIVISIONAL EDUCATION OFFICE,59222,DERANIYAGALA DIVISIONAL EDUCATION OFFICE,D25,ZN2504,,,1
ED0804,DEVINUWARA DIVISIONAL EDUCATION OFFICE,53224,DEVINUWARA DIVISIONAL EDUCATION OFFICE,D08,ZN0801,,,1
ED0805,DIKWELLA DIVISIONAL EDUCATION OFFICE,53225,DIKWELLA DIVISIONAL EDUCATION OFFICE,D08,ZN0801,,,1
ED2103,DIMBULAGALA DIVISIONAL EDUCATION OFFICE,57222,DIMBULAGALA DIVISIONAL EDUCATION OFFICE,D21,ZN2103,,,1
ED0717,DIVITURA DIVISIONAL EDUCATION OFFICE,53125,DIVITURA-WELIVITIYA DIVISIONAL EDUCATION OFFICE,D07,ZN0702,,,1
ED0211,DIVULAPITIYA DIVISIONAL EDUCATION OFFICE,51228,DIVULAPITIYA DIVISIONAL EDUCATION OFFICE,D02,ZN0202,,,1
ED0306,DODANGODA DIVISIONAL EDUCATION OFFICE,51325,DODANGODA DIVISIONAL EDUCATION OFFICE,D03,ZN0301,,,1
ED0205,DOMPE-WEKE DIVISIONAL EDUCATION OFFICE,55326,ECHCHILANPATTU DIVISIONAL EDUCATION OFFICE,D02,ZN0201,,,1
ED1708,ECHILAMPATTU DIVISIONAL EDUCATION OFFICE,59132,EHELIYAGODA DIVISIONAL EDUCATION OFFICE,D17,ZN1702,,,1
ED2404,EHELIYAGODA DIVISIONAL EDUCATION OFFICE,59132,EHELIYAGODA DIVISIONAL EDUCATION OFFICE,D24,ZN2401,,,1
ED2106,ELAHERA DIVISIONAL EDUCATION OFFICE,57224,ELAHERA DIVISIONAL EDUCATION OFFICE,D21,ZN2102,,,1
ED2415,ELAPATHA DIVISIONAL EDUCATION OFFICE,59128,ELAPATHA DIVISIONAL EDUCATION OFFICE,D24,ZN2404,,,1
ED2212,ELLA DIVISIONAL EDUCATION OFFICE,58124,ELLA DIVISIONAL EDUCATION OFFICE,D22,ZN2202,,,1
ED0706,ELPITIYA DIVISIONAL EDUCATION OFFICE,53126,ELPITIYA DIVISIONAL EDUCATION OFFICE,D07,ZN0702,,,1
ED2413,EMBILIPITIYA DIVISIONAL EDUCATION OFFICE,59124,EMBILIPITIYA DIVISIONAL EDUCATION OFFICE,D24,ZN2405,,,1
ED1502,ERAVUR PATTU-1 DIVISIONAL EDUCATION OFFICE,55121,ERAVUR PATTU - I (CHENKALADY) DIVISIONAL EDUCATION OFFICE,D15,ZN1501,,,1
ED1513,ERAVUR PATTU-2 DIVISIONAL EDUCATION OFFICE,55130,ERAVUR PATTU - II DIVISIONAL EDUCATION OFFICE,D15,ZN1502,,,1
ED1514,ERAVUR PATTU-3 DIVISIONAL EDUCATION OFFICE,55127,ERAVUR PATTU - III DIVISIONAL EDUCATION OFFICE,D15,ZN1505,,,1
ED1503,ERAVUR TOWN DIVISIONAL EDUCATION OFFICE,55124,ERAVUR TOWN DIVISIONAL EDUCATION OFFICE,D15,ZN1504,,,1
ED0412,GALAGEDARA (THUMPANE) DIVISIONAL EDUCATION OFFICE,52129,GALAGEDARA DIVISIONAL EDUCATION OFFICE,D04,ZN0407,,,1
ED2015,GALENBINDUNUWEWA DIVISIONAL EDUCATION OFFICE,57127,GALENBINDUNUWEWA DIVISIONAL EDUCATION OFFICE,D20,ZN2004,,,1
ED0506,GALEWELA DIVISIONAL EDUCATION OFFICE,52222,GALEWELA DIVISIONAL EDUCATION OFFICE,D05,ZN0502,,,1
ED1816,GALGAMUWA DIVISIONAL EDUCATION OFFICE,56135,GALGAMUWA DIVISIONAL EDUCATION OFFICE,D18,ZN1804,,,1
ED2502,GALIGAMUWA DIVISIONAL EDUCATION OFFICE,59227,GALIGAMUWA DIVISIONAL EDUCATION OFFICE,D25,ZN2501,,,1
ED0701,GALLE DIVISIONAL EDUCATION OFFICE,53131,GALLE DIVISIONAL EDUCATION OFFICE,D07,ZN0701,,,1
ED2009,GALNEWA DIVISIONAL EDUCATION OFFICE,57139,GALNEWA DIVISIONAL EDUCATION OFFICE,D20,ZN2002,,,1
ED0201,GAMPAHA DIVISIONAL EDUCATION OFFICE,51223,GAMPAHA DIVISIONAL EDUCATION OFFICE,D02,ZN0201,,,1
ED1819,GANEWATTA DIVISIONAL EDUCATION OFFICE,56124,GANEWATTA DIVISIONAL EDUCATION OFFICE,D18,ZN1806,,,1
ED0406,GANGA IHALA KORALE DIVISIONAL EDUCATION OFFICE,52123,GANGA IHALA KORALE DIVISIONAL EDUCATION OFFICE,D04,ZN0404,,,1
ED0401,GANGAWATA KORALE DIVISIONAL EDUCATION OFFICE,52126,GANGAWATA KORALE DIVISIONAL EDUCATION OFFICE,D04,ZN0401,,,1
ED1817,GIRIBAWA DIVISIONAL EDUCATION OFFICE,56136,GIRIBAWA DIVISIONAL EDUCATION OFFICE,D18,ZN1804,,,1
ED2411,GODAKAWELA DIVISIONAL EDUCATION OFFICE,59125,GODAKAWELA DIVISIONAL EDUCATION OFFICE,D24,ZN2405,,,1
ED1705,GOMARANKADAWALA DIVISIONAL EDUCATION OFFICE,55328,GOMARANKADAWALA DIVISIONAL EDUCATION OFFICE,D17,ZN1705,,,1
ED0702,HABARADUWA DIVISIONAL EDUCATION OFFICE,53132,HABARADUWA DIVISIONAL EDUCATION OFFICE,D07,ZN0701,,,1
ED0808,HAKMANA DIVISIONAL EDUCATION OFFICE,53231,HAKMANA DIVISIONAL EDUCATION OFFICE,D08,ZN0803,,,1
ED2210,HALDUMMULLA DIVISIONAL EDUCATION OFFICE,58125,HALDUMMULLA DIVISIONAL EDUCATION OFFICE,D22,ZN2202,,,1
ED2203,HALI-ELA DIVISIONAL EDUCATION OFFICE,58122,HALI-ELA DIVISIONAL EDUCATION OFFICE,D22,ZN2201,,,1
ED0905,HAMBANTOTA DIVISIONAL EDUCATION OFFICE,53322,HAMBANTOTA DIVISIONAL EDUCATION OFFICE,D09,ZN0902,,,1
ED0112,HANWELLA DIVISIONAL EDUCATION OFFICE,51125,HANWELLA DIVISIONAL EDUCATION OFFICE,D01,ZN0102,,,1
ED2211,HAPUTALE DIVISIONAL EDUCATION OFFICE,58126,HAPUTALE DIVISIONAL EDUCATION OFFICE,D22,ZN2202,,,1
ED0408,HARISPATTUWA DIVISIONAL EDUCATION OFFICE,52130,HARISPATTUWA DIVISIONAL EDUCATION OFFICE,D04,ZN0407,,,1
ED0418,HATHARALIYADDA DIVISIONAL EDUCATION OFFICE,52131,HATHARALIYADDA DIVISIONAL EDUCATION OFFICE,D04,ZN0407,,,1
ED0608,HATTON TAMIL - I DIVISIONAL EDUCATION OFFICE,52323,HATTON TAMIL - I DIVISIONAL EDUCATION OFFICE,D06,ZN0603,,,1
ED0609,HATTON TAMIL - II DIVISIONAL EDUCATION OFFICE,52324,HATTON TAMIL - II DIVISIONAL EDUCATION OFFICE,D06,ZN0603,,,1
ED0611,HATTON TAMIL - III DIVISIONAL EDUCATION OFFICE,52325,HATTON TAMIL - III DIVISIONAL EDUCATION OFFICE,D06,ZN0603,,,1
ED0704,HIKKADUWA DIVISIONAL EDUCATION OFFICE,53123,HIKKADUWA DIVISIONAL EDUCATION OFFICE,D07,ZN0703,,,1
ED2104,HINGURAKGODA DIVISIONAL EDUCATION OFFICE,57225,HINGURAKGODA DIVISIONAL EDUCATION OFFICE,D21,ZN2102,,,1
ED0107,HOMAGAMA DIVISIONAL EDUCATION OFFICE,51126,HOMAGAMA DIVISIONAL EDUCATION OFFICE,D01,ZN0102,,,1
ED0303,HORANA DIVISIONAL EDUCATION OFFICE,51323,HORANA DIVISIONAL EDUCATION OFFICE,D03,ZN0303,,,1
ED2020,HOROWPATHANA DIVISIONAL EDUCATION OFFICE,57130,HOROWPOTHANA DIVISIONAL EDUCATION OFFICE,D20,ZN2005,,,1
ED1805,IBBAGAMUWA DIVISIONAL EDUCATION OFFICE,56125,IBBAGAMUWA DIVISIONAL EDUCATION OFFICE,D18,ZN1806,,,1
ED2409,IMBULPE DIVISIONAL EDUCATION OFFICE,59122,IMBULPE DIVISIONAL EDUCATION OFFICE,D24,ZN2403,,,1
ED2014,IPALOGAMA DIVISIONAL EDUCATION OFFICE,57134,IPALOGAMA DIVISIONAL EDUCATION OFFICE,D20,ZN2003,,,1
ED1618,IRAKKAMAM DIVISIONAL EDUCATION OFFICE,55236,IRAKAMAM DIVISIONAL EDUCATION OFFICE,D16,ZN1603,,,1
ED0213,JA-ELA DIVISIONAL EDUCATION OFFICE,51231,JA-ELA DIVISIONAL EDUCATION OFFICE,D02,ZN0203,,,1
ED1001,JAFFNA DIVISIONAL EDUCATION OFFICE,54125,JAFFNA DIVISIONAL EDUCATION OFFICE,D10,ZN1001,,,1
ED0110,KADUWELA DIVISIONAL EDUCATION OFFICE,51131,KADUWELA DIVISIONAL EDUCATION OFFICE,D01,ZN0103,,,1
ED2016,KAHATAGASDIGILIA DIVISIONAL EDUCATION OFFICE,57128,KAHATAGASDIGILIYA DIVISIONAL EDUCATION OFFICE,D20,ZN2004,,,1
ED2416,KAHAWATTA DIVISIONAL EDUCATION OFFICE,59129,KAHAWATTA DIVISIONAL EDUCATION OFFICE,D24,ZN2404,,,1
ED2407,KALAWANA DIVISIONAL EDUCATION OFFICE,59130,KALAWANA DIVISIONAL EDUCATION OFFICE,D24,ZN2404,,,1
ED1608,KALMUNAI DIVISIONAL EDUCATION OFFICE,55229,KALMUNAI DIVISIONAL EDUCATION OFFICE,D16,ZN1602,,,1
ED1609,KALMUNAI TAMIL DIVISIONAL EDUCATION OFFICE,55230,KALMUNAI TAMIL DIVISIONAL EDUCATION OFFICE,D16,ZN1602,,,1
ED1905,KALPITIYA DIVISIONAL EDUCATION OFFICE,56226,KALPITIYA DIVISIONAL EDUCATION OFFICE,D19,ZN1901,,,1
ED0301,KALUTARA DIVISIONAL EDUCATION OFFICE,51326,KALUTARA DIVISIONAL EDUCATION OFFICE,D03,ZN0301,,,1
ED0810,KAMBURUPITIYA DIVISIONAL EDUCATION OFFICE,53232,KAMBURUPITIYA DIVISIONAL EDUCATION OFFICE,D08,ZN0803,,,1
ED2206,KANDAKETIYA DIVISIONAL EDUCATION OFFICE,58130,KANDEKETIYA DIVISIONAL EDUCATION OFFICE,D22,ZN2206,,,1
ED1102,KANDAWALAI DIVISIONAL EDUCATION OFFICE,54521,KANDAWALAI DIVISIONAL EDUCATION OFFICE,D11,ZN1101,,,1
ED1702,KANTALE DIVISIONAL EDUCATION OFFICE,55321,KANTALE DIVISIONAL EDUCATION OFFICE,D17,ZN1703,,,1
ED1101,KARACHCHI DIVISIONAL EDUCATION OFFICE,54522,KARACHCHI DIVISIONAL EDUCATION OFFICE,D11,ZN1101,,,1
ED1615,KARAITHIVU DIVISIONAL EDUCATION OFFICE,55231,KARAITHIVU DIVISIONAL EDUCATION OFFICE,D16,ZN1602,,,1
ED0709,KARANDENIYA DIVISIONAL EDUCATION OFFICE,53127,KARANDENIYA DIVISIONAL EDUCATION OFFICE,D07,ZN0702,,,1
ED1008,KARAVEDDI DIVISIONAL EDUCATION OFFICE,54129,KARAVEDDY DIVISIONAL EDUCATION OFFICE,D10,ZN1005,,,1
ED1015,KAREINAGAR  DIVISIONAL EDUCATION OFFICE,54122,KARAINAGAR DIVISIONAL EDUCATION OFFICE,D10,ZN1002,,,1
ED0209,KATANA DIVISIONAL EDUCATION OFFICE,51232,KATANA DIVISIONAL EDUCATION OFFICE,D02,ZN0203,,,1
ED1511,KATHTHANKUDY DIVISIONAL EDUCATION OFFICE,55125,KATHTHANKUDY DIVISIONAL EDUCATION OFFICE,D15,ZN1504,,,1
ED0903,KATUWANA DIVISIONAL EDUCATION OFFICE,53329,KATUWANA DIVISIONAL EDUCATION OFFICE,D09,ZN0903,,,1
ED1005,KAYTS DIVISIONAL EDUCATION OFFICE,54123,KAYTS DIVISIONAL EDUCATION OFFICE,D10,ZN1002,,,1
ED2018,KEBITHIGOLLEWA DIVISIONAL EDUCATION OFFICE,57131,KEBITHIGOLLEWA DIVISIONAL EDUCATION OFFICE,D20,ZN2005,,,1
ED2501,KEGALLE DIVISIONAL EDUCATION OFFICE,59228,KEGALLE DIVISIONAL EDUCATION OFFICE,D25,ZN2501,,,1
ED2010,KEKIRAWA DIVISIONAL EDUCATION OFFICE,57135,KEKIRAWA DIVISIONAL EDUCATION OFFICE,D20,ZN2003,,,1
ED0207,KELANIYA DIVISIONAL EDUCATION OFFICE,51225,KELANIYA DIVISIONAL EDUCATION OFFICE,D02,ZN0204,,,1
ED0109,KESBEWA DIVISIONAL EDUCATION OFFICE,51129,KESBEWA DIVISIONAL EDUCATION OFFICE,D01,ZN0104,,,1
ED1703,KINNIYA DIVISIONAL EDUCATION OFFICE,55323,KINNIYA DIVISIONAL EDUCATION OFFICE,D17,ZN1704,,,1
ED2512,KITULGALA DIVISIONAL EDUCATION OFFICE,59223,KITULGALA DIVISIONAL EDUCATION OFFICE,D25,ZN2504,,,1
ED1814,KOBEIGANE DIVISIONAL EDUCATION OFFICE,56139,KOBEIGANE DIVISIONAL EDUCATION OFFICE,D18,ZN1803,,,1
ED0103,KOLONNAWA DIVISIONAL EDUCATION OFFICE,51132,KOLONNAWA DIVISIONAL EDUCATION OFFICE,D01,ZN0103,,,1
ED2412,KOLONNE DIVISIONAL EDUCATION OFFICE,59126,KOLONNA DIVISIONAL EDUCATION OFFICE,D24,ZN2405,,,1
ED1009,KOPAY DIVISIONAL EDUCATION OFFICE,54126,KOPAY DIVISIONAL EDUCATION OFFICE,D10,ZN1001,,,1
ED1508,KORALAI PATTU NORTH DIVISIONAL EDUCATION OFFICE,55132,KORALAI PATTU NORTH DIVISIONAL EDUCATION OFFICE,D15,ZN1502,,,1
ED1510,KORALAIPATTU DIVISIONAL EDUCATION OFFICE,55131,KORALAI PATTU DIVISIONAL EDUCATION OFFICE,D15,ZN1502,,,1
ED1512,KORALAPATTU WEST DIVISIONAL EDUCATION OFFICE,55126,KORALAI PATTU WEST DIVISIONAL EDUCATION OFFICE,D15,ZN1504,,,1
ED0814,KOTAPOLA DIVISIONAL EDUCATION OFFICE,53228,KOTAPOLA DIVISIONAL EDUCATION OFFICE,D08,ZN0804,,,1
ED1821,KOTAVEHERA DIVISIONAL EDUCATION OFFICE,56140,KOTAVEHERA DIVISIONAL EDUCATION OFFICE,D18,ZN1803,,,1
ED0604,KOTHMALE DIVISIONAL EDUCATION OFFICE,52326,KOTMALE DIVISIONAL EDUCATION OFFICE,D06,ZN0602,,,1
ED1706,KUCHCHAVELI DIVISIONAL EDUCATION OFFICE,55331,KUCHCHAVELI DIVISIONAL EDUCATION OFFICE,D17,ZN1701,,,1
ED1807,KULIYAPITIYA EAST DIVISIONAL EDUCATION OFFICE,56122,KULIYAPITIYA EAST DIVISIONAL EDUCATION OFFICE,D18,ZN1805,,,1
ED1818,KULIYAPITIYA WEST DIVISIONAL EDUCATION OFFICE,56129,KULIYAPITIYA WEST DIVISIONAL EDUCATION OFFICE,D18,ZN1802,,,1
ED0411,KUNDASALE DIVISIONAL EDUCATION OFFICE,52136,KUNDASALE DIVISIONAL EDUCATION OFFICE,D04,ZN0406,,,1
ED1713,KURINCHAKERNY DIVISIONAL EDUCATION OFFICE,55324,KURINCHAKERNY DIVISIONAL EDUCATION OFFICE,D17,ZN1704,,,1
ED1801,KURUNEGALA DIVISIONAL EDUCATION OFFICE,56132,KURUNEGALA DIVISIONAL EDUCATION OFFICE,D18,ZN1801,,,1
ED2405,KURUVITA DIVISIONAL EDUCATION OFFICE,59133,KURUWITA DIVISIONAL EDUCATION OFFICE,D24,ZN2401,,,1
ED0504,LAGGALA DIVISIONAL EDUCATION OFFICE,52230,LAGGALA DIVISIONAL EDUCATION OFFICE,D05,ZN0504,,,1
ED1607,LAHUGALA DIVISIONAL EDUCATION OFFICE,55226,LAHUGALA DIVISIONAL EDUCATION OFFICE,D16,ZN1601,,,1
ED2102,LANKAPURA DIVISIONAL EDUCATION OFFICE,57227,LANKAPURA DIVISIONAL EDUCATION OFFICE,D21,ZN2101,,,1
ED0909,LUNUGAMVEHERA DIVISIONAL EDUCATION OFFICE,53323,LUNUGAMVEHERA DIVISIONAL EDUCATION OFFICE,D09,ZN0902,,,1
ED1504,M.S.E. PATTU DIVISIONAL EDUCATION OFFICE,55133,MANMUNAI SOUTH & ERUVIL PATTU DIVISIONAL EDUCATION OFFICE,D15,ZN1503,,,1
ED1205,MADHU DIVISIONAL EDUCATION OFFICE,54221,MADHU DIVISIONAL EDUCATION OFFICE,D12,ZN1202,,,1
ED2307,MADULLA DIVISIONAL EDUCATION OFFICE,58222,MADULLA DIVISIONAL EDUCATION OFFICE,D23,ZN2303,,,1
ED1606,MAHAOYA DIVISIONAL EDUCATION OFFICE,55234,MAHAOYA DIVISIONAL EDUCATION OFFICE,D16,ZN1604,,,1
ED0204,MAHARA DIVISIONAL EDUCATION OFFICE,51226,MAHARA DIVISIONAL EDUCATION OFFICE,D02,ZN0204,,,1
ED0108,MAHARAGAMA DIVISIONAL EDUCATION OFFICE,51133,MAHARAGAMA DIVISIONAL EDUCATION OFFICE,D01,ZN0103,,,1
ED2213,MAHIYANGANAYA DIVISIONAL EDUCATION OFFICE,58127,MAHIYANGANAYA DIVISIONAL EDUCATION OFFICE,D22,ZN2203,,,1
ED1812,MAHO DIVISIONAL EDUCATION OFFICE,56137,MAHO DIVISIONAL EDUCATION OFFICE,D18,ZN1804,,,1
ED0811,MALIMBADA DIVISIONAL EDUCATION OFFICE,53222,MALIMBODA DIVISIONAL EDUCATION OFFICE,D08,ZN0802,,,1
ED1507,MANMUNAI - S.WEST DIVISIONAL EDUCATION OFFICE,55128,MANMUNAI SOUTH WEST DIVISIONAL EDUCATION OFFICE,D15,ZN1505,,,1
ED1501,MANMUNAI NORTH DIVISIONAL EDUCATION OFFICE,55122,MANMUNAI NORTH (BATTICALOA) DIVISIONAL EDUCATION OFFICE,D15,ZN1501,,,1
ED1506,MANMUNAI PATTU DIVISIONAL EDUCATION OFFICE,55123,MANMUNAI PATTU DIVISIONAL EDUCATION OFFICE,D15,ZN1501,,,1
ED1509,MANMUNAI WEST DIVISIONAL EDUCATION OFFICE,55129,MANMUNAI WEST DIVISIONAL EDUCATION OFFICE,D15,ZN1505,,,1
ED1201,MANNAR DIVISIONAL EDUCATION OFFICE,54223,MANNAR DIVISIONAL EDUCATION OFFICE,D12,ZN1201,,,1
ED1402,MANTHAI EAST DIVISIONAL EDUCATION OFFICE,54424,MANTHAI EAST DIVISIONAL EDUCATION OFFICE,D14,ZN1402,,,1
ED1202,MANTHAI WEST DIVISIONAL EDUCATION OFFICE,54222,MANTHAI WEST DIVISIONAL EDUCATION OFFICE,D12,ZN1202,,,1
ED0711,MAPALAGAMA DIVISIONAL EDUCATION OFFICE,53133,MAPALAGAMA DIVISIONAL EDUCATION OFFICE,D07,ZN0705,,,1
ED1401,MARITIME PATTU DIVISIONAL EDUCATION OFFICE,54421,MARITIMEPATTU DIVISIONAL EDUCATION OFFICE,D14,ZN1401,,,1
ED1006,MARUTHANKERNEY DIVISIONAL EDUCATION OFFICE,54130,MARUTHANKERNY DIVISIONAL EDUCATION OFFICE,D10,ZN1005,,,1
ED0501,MATALE DIVISIONAL EDUCATION OFFICE,52224,MATALE DIVISIONAL EDUCATION OFFICE,D05,ZN0501,,,1
ED0801,MATARA DIVISIONAL EDUCATION OFFICE,53226,MATARA DIVISIONAL EDUCATION OFFICE,D08,ZN0801,,,1
ED0307,MATHUGAMA DIVISIONAL EDUCATION OFFICE,51330,MATUGAMA DIVISIONAL EDUCATION OFFICE,D03,ZN0302,,,1
ED2508,MAWANELLA DIVISIONAL EDUCATION OFFICE,59231,MAWANELLA DIVISIONAL EDUCATION OFFICE,D25,ZN2503,,,1
ED1803,MAWATHAGAMA DIVISIONAL EDUCATION OFFICE,56133,MAWATHAGAMA DIVISIONAL EDUCATION OFFICE,D18,ZN1801,,,1
ED0410,MEDA DUMBARA DIVISIONAL EDUCATION OFFICE,52133,MEDADUMBARA DIVISIONAL EDUCATION OFFICE,D04,ZN0405,,,1
ED2309,MEDAGAMA DIVISIONAL EDUCATION OFFICE,58223,MEDAGAMA DIVISIONAL EDUCATION OFFICE,D23,ZN2303,,,1
ED2021,MEDAWACHCHIYA DIVISIONAL EDUCATION OFFICE,57132,MEDAWACHCHIYA DIVISIONAL EDUCATION OFFICE,D20,ZN2005,,,1
ED2105,MEDIRIGIRIYA DIVISIONAL EDUCATION OFFICE,57226,MEDIRIGIRIYA DIVISIONAL EDUCATION OFFICE,D21,ZN2102,,,1
ED2205,MEEGAHAKIVULA DIVISIONAL EDUCATION OFFICE,58131,MEEGAHAKIVULA DIVISIONAL EDUCATION OFFICE,D22,ZN2206,,,1
ED0203,MEERIGAMA DIVISIONAL EDUCATION OFFICE,51229,MEERIGAMA DIVISIONAL EDUCATION OFFICE,D02,ZN0202,,,1
ED2017,MIHINTALE DIVISIONAL EDUCATION OFFICE,57129,MIHINTALE DIVISIONAL EDUCATION OFFICE,D20,ZN2004,,,1
ED0409,MINIPE DIVISIONAL EDUCATION OFFICE,52134,MINIPE DIVISIONAL EDUCATION OFFICE,D04,ZN0405,,,1
ED0208,MINUWANGODA DIVISIONAL EDUCATION OFFICE,51230,MINUWANGODA DIVISIONAL EDUCATION OFFICE,D02,ZN0202,,,1
ED2301,MONARAGALA DIVISIONAL EDUCATION OFFICE,58225,MONERAGALA DIVISIONAL EDUCATION OFFICE,D23,ZN2301,,,1
ED0106,MORATUWA DIVISIONAL EDUCATION OFFICE,51130,MORATUWA DIVISIONAL EDUCATION OFFICE,D01,ZN0104,,,1
